borough_name,count,borough,population,per_capita,streets_per_person
Staten Island,8,Staten Island,912458,8.767526834111817e-06,8.767526834111816
Bronx,20,Bronx,2717758,7.359006946166657e-06,7.359006946166657
Queens,124,Queens,4460101,2.780206098471761e-05,27.80206098471761
Brooklyn,176,Brooklyn,4970026,3.541228959365605e-05,35.41228959365605
Manhattan,214,Manhattan,3123068,6.852236326586549e-05,68.5223632658655
