Object ID,Organization Name,LIONS ID,Borough Name,Approved On Street,Approved From Street,Approved To Street,Review Status,apprDaysWe,Approved Monday Open,Approved Monday Close,Approved Tuesday Open,Approved Tuesday Close,Approved Wednesday Open,Approved Wednesday Close,Approved Thursday Open,Approved Thursday Close,Approved Friday Open,Approved Friday Close,Approved Saturday Open,Approved Saturday Close,Approved Sunday Open,Approved Sunday Close,apprStartD,Shape_STLe,apprEndDat,School,the Geom
120,Park Slope Fifth Avenue Business Improvement District,16596,Brooklyn,5th AVENUE,DEAN STREET,PARK PLACE,approvedFull,"sat,sun",,,,,,,,,,,11:00,22:30,11:00,22:00,2021-04-03T00:00:00,220.787496415,12/18/2021 12:00:00 AM,,"MULTILINESTRING ((-73.97745745109026 40.68086936108505, -73.97781860828594 40.68032931078394))"
121,Park Slope Fifth Avenue Business Improvement District,16598,Brooklyn,5th AVENUE,DEAN STREET,PARK PLACE,approvedFull,"sat,sun",,,,,,,,,,,11:00,22:30,11:00,22:00,2021-04-03T00:00:00,260.151509555,12/18/2021 12:00:00 AM,,"MULTILINESTRING ((-73.97702604421227 40.68150340721566, -73.97745745109026 40.68086936108505))"
122,Park Slope Fifth Avenue Business Improvement District,16599,Brooklyn,5th AVENUE,DEAN STREET,PARK PLACE,approvedFull,"sat,sun",,,,,,,,,,,11:00,22:30,11:00,22:00,2021-04-03T00:00:00,258.804595776,12/18/2021 12:00:00 AM,,"MULTILINESTRING ((-73.97659872286034 40.682134900454464, -73.97702604421227 40.68150340721566))"
123,Fort Greene Open Streets Coalition,16691,Brooklyn,SOUTH PORTLAND AVENUE,DEKALB AVENUE,FULTON STREET,approvedLimited,mon,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,2021-09-08T00:00:00,324.69433415,12/31/2021 12:00:00 AM,no,"MULTILINESTRING ((-73.97461944491491 40.6872072107071, -73.97444282971392 40.68632619806462))"
124,Prospect Heights Neighborhood Development Council,16731,Brooklyn,VANDERBILT AVENUE,ATLANTIC AVENUE,PARK PLACE,approvedFull,"fri,sat,sun",,,,,,,,,16:00,23:00,11:00,22:00,11:00,22:00,2021-04-02T00:00:00,332.340103691,11/21/2021 12:00:00 AM,,"MULTILINESTRING ((-73.96886227928293 40.67768111847031, -73.96918045056263 40.67680167034713))"
125,Prospect Heights Neighborhood Development Council,16733,Brooklyn,VANDERBILT AVENUE,ATLANTIC AVENUE,PARK PLACE,approvedFull,"fri,sat,sun",,,,,,,,,16:00,23:00,11:00,22:00,11:00,22:00,2021-04-02T00:00:00,331.918439237,11/21/2021 12:00:00 AM,,"MULTILINESTRING ((-73.96854501205469 40.678559556392045, -73.96886227928293 40.67768111847031))"
126,Prospect Heights Neighborhood Development Council,16765,Brooklyn,UNDERHILL AVENUE,ATLANTIC AVENUE,ST JOHNS PLACE,approvedLimited,"mon,tue,wed,thu,fri",08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,16:00,,,,,2021-04-05T00:00:00,328.847440519,11/19/2021 12:00:00 AM,,"MULTILINESTRING ((-73.96661541462883 40.675318311691015, -73.96693871779222 40.67444991131555))"
127,Prospect Heights Neighborhood Development Council,16771,Brooklyn,VANDERBILT AVENUE,ATLANTIC AVENUE,PARK PLACE,approvedFull,"fri,sat,sun",,,,,,,,,16:00,23:00,11:00,22:00,11:00,22:00,2021-04-02T00:00:00,330.946898839,11/21/2021 12:00:00 AM,,"MULTILINESTRING ((-73.96822951306991 40.679435599367075, -73.96854501205469 40.678559556392045))"
128,Prospect Heights Neighborhood Development Council,16772,Brooklyn,UNDERHILL AVENUE,ATLANTIC AVENUE,ST JOHNS PLACE,approvedLimited,"mon,tue,wed,thu,fri",08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,16:00,,,,,2021-04-05T00:00:00,332.028925933,11/19/2021 12:00:00 AM,,"MULTILINESTRING ((-73.96566149498283 40.677955540217184, -73.96597736879616 40.67707649740992))"
129,Prospect Heights Neighborhood Development Council,16774,Brooklyn,UNDERHILL AVENUE,ATLANTIC AVENUE,ST JOHNS PLACE,approvedLimited,"mon,tue,wed,thu,fri",08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,16:00,,,,,2021-04-05T00:00:00,332.17024107,11/19/2021 12:00:00 AM,,"MULTILINESTRING ((-73.96534390006462 40.67883462657317, -73.96566149498283 40.677955540217184))"
130,Prospect Heights Neighborhood Development Council,16780,Brooklyn,PACIFIC STREET,VANDERBILT AVENUE,UNDERHILL AVENUE,approvedLimited,"fri,sat,sun",,,,,,,,,17:00,22:00,12:00,22:00,12:00,22:00,2021-04-09T00:00:00,830.557037527,11/21/2021 12:00:00 AM,,"MULTILINESTRING ((-73.96768115174802 40.680971958630295, -73.96479306841033 40.68036962969244))"
