Object ID,Organization Name,LIONS ID,Borough Name,Approved On Street,Approved From Street,Approved To Street,Review Status,apprDaysWe,Approved Monday Open,Approved Monday Close,Approved Tuesday Open,Approved Tuesday Close,Approved Wednesday Open,Approved Wednesday Close,Approved Thursday Open,Approved Thursday Close,Approved Friday Open,Approved Friday Close,Approved Saturday Open,Approved Saturday Close,Approved Sunday Open,Approved Sunday Close,apprStartD,Shape_STLe,apprEndDat,School,the Geom
77,Brooklyn Heights Synagogue Preschool,13349,Brooklyn,REMSEN STREET,CLINTON STREET,HENRY STREET,approvedFull,"mon,tue,wed,thu,fri",09:15,15:00,09:15,15:00,09:15,15:00,09:15,15:00,09:15,15:00,,,,,2021-07-01T00:00:00,552.767301199,06/30/2022 12:00:00 AM,,"MULTILINESTRING ((-73.99462151255486 40.69413638077917, -73.992746547464 40.69362130967684))"
78,Imagine Early Learning Centers @ Brooklyn Heights,13437,Brooklyn,MONROE PLACE,CLARK STREET,PIERREPONT STREET,approvedFull,"mon,tue,wed,thu,fri",09:30,16:00,09:30,16:00,09:30,16:00,09:30,16:00,09:30,16:00,,,,,2021-10-04T00:00:00,778.709667757,08/30/2022 12:00:00 AM,yes,"MULTILINESTRING ((-73.99212630254549 40.69724226778367, -73.99308361108231 40.69523291623117))"
79,Dumbo Improvement District,13457,Brooklyn,MAIN STREET,WATER STREET,PLYMOUTH STREET,approvedFull,"fri,sat,sun",,,,,,,,,11:00,21:00,11:00,21:00,11:00,21:00,2021-04-23T00:00:00,242.63403424,12/19/2021 12:00:00 AM,,"MULTILINESTRING ((-73.99066631992035 40.70392444637981, -73.99067285133331 40.70325849137951))"
80,Cervo's,13489,Manhattan,CANAL STREET,ESSEX STREET,ORCHARD STREET,approvedFull,"mon,tue,wed,thu,fri,sat,sun",15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,12:00,23:00,10:00,23:00,2021-04-01T00:00:00,157.959579593,12/31/2021 12:00:00 AM,,"MULTILINESTRING ((-73.99022301256988 40.71442145428202, -73.99075804124429 40.71457058699408))"
81,Atlantic Avenue District Management Association Inc.,13497,Brooklyn,HOYT STREET,SCHERMERHORN STREET,ATLANTIC AVENUE,approvedFull,"fri,sat,sun",,,,,,,,,12:00,23:00,12:00,23:00,12:00,23:00,2021-04-23T00:00:00,260.548486291,10/31/2021 12:00:00 AM,,"MULTILINESTRING ((-73.98657110328725 40.68842475715669, -73.98700289736449 40.687789619531976))"
82,Boerum Hill Association,13498,Brooklyn,STATE STREET,SMITH STREET,NEVINS STREET,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,2021-04-24T00:00:00,675.532356638,11/13/2021 12:00:00 AM,,"MULTILINESTRING ((-73.98657110328725 40.68842475715669, -73.98440215416124 40.68758089148424))"
83,Office Ho Jonot,13564,Manhattan,JEFFERSON STREET,EAST BROADWAY,MADISON STREET,approvedLimited,"thu,fri,sat,sun",,,,,,,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,2021-06-24T00:00:00,272.111257433,12/25/2021 12:00:00 AM,,"MULTILINESTRING ((-73.98860262393175 40.71352743143392, -73.98848660752282 40.712785786272356))"
84,Flatbush Development Corporation,15874,Brooklyn,NEWKIRK AVENUE,CONEY ISLAND AVENUE,EAST 17th STREET,approvedFull,sun,,,,,,,,,,,,,12:00,20:00,2021-07-11T00:00:00,285.003920543,08/29/2021 12:00:00 AM,,"MULTILINESTRING ((-73.96595367212812 40.6342824217963, -73.96508549768288 40.63470016452931))"
85,Flatbush Development Corporation,15876,Brooklyn,NEWKIRK AVENUE,CONEY ISLAND AVENUE,EAST 17th STREET,approvedFull,sun,,,,,,,,,,,,,12:00,20:00,2021-07-11T00:00:00,284.450266873,08/29/2021 12:00:00 AM,,"MULTILINESTRING ((-73.96508549768288 40.63470016452931, -73.96421852945393 40.635116522371916))"
86,Flatbush Development Corporation,15935,Brooklyn,NEWKIRK AVENUE,CONEY ISLAND AVENUE,EAST 17th STREET,approvedFull,sun,,,,,,,,,,,,,12:00,20:00,2021-07-11T00:00:00,161.759499545,08/29/2021 12:00:00 AM,,"MULTILINESTRING ((-73.9633515140188 40.635534559419234, -73.96285786672013 40.63577058110807))"
87,The Berkeley Carroll School,16560,Brooklyn,CARROLL STREET,6th AVENUE,7th AVENUE,approvedFull,"mon,tue,wed,thu,fri",10:00,15:00,10:00,15:00,10:00,15:00,10:00,15:00,10:00,15:00,,,,,2021-09-20T00:00:00,778.747258026,05/27/2022 12:00:00 AM,yes,"MULTILINESTRING ((-73.9788256553451 40.67418751196837, -73.97632520750871 40.673215664094))"
88,Park Slope Fifth Avenue Business Improvement District,16578,Brooklyn,5th AVENUE,STERLING PLACE,BERKELEY PLACE,approvedFull,"sat, sun",,,,,,,,,,,11:00,22:30,11:00,22:00,2021-04-03T00:00:00,257.752308918,12/18/2021 12:00:00 AM,,"MULTILINESTRING ((-73.9791801253082 40.678327270911836, -73.97960094412208 40.677696498767666))"
89,Park Slope Fifth Avenue Business Improvement District,16593,Brooklyn,5th AVENUE,DEAN STREET,PARK PLACE,approvedFull,"sat,sun",,,,,,,,,,,11:00,22:30,11:00,22:00,2021-04-03T00:00:00,220.080252233,12/18/2021 12:00:00 AM,,"MULTILINESTRING ((-73.97788890248353 40.68023328443868, -73.97825192425402 40.67969614265767))"
90,Park Slope Fifth Avenue Business Improvement District,16594,Brooklyn,5th AVENUE,DEAN STREET,PARK PLACE,approvedFull,"sat,sun",,,,,,,,,,,11:00,22:30,11:00,22:00,2021-04-03T00:00:00,40.0511449817,12/18/2021 12:00:00 AM,,"MULTILINESTRING ((-73.97781860828594 40.68032931078394, -73.97788890248353 40.68023328443868))"
91,The Berkeley Carroll School,16652,Brooklyn,LINCOLN PLACE,7th AVENUE,8th AVENUE,approvedFull,"mon,tue,wed,thu,fri",10:00,15:00,10:00,15:00,10:00,15:00,10:00,15:00,10:00,15:00,,,,,2021-09-20T00:00:00,778.976760641,05/27/2022 12:00:00 AM,yes,"MULTILINESTRING ((-73.974599237823 40.67574782471196, -73.97209858181117 40.67477481530447))"
92,Prospect Heights Neighborhood Development Council,16767,Brooklyn,UNDERHILL AVENUE,ATLANTIC AVENUE,ST JOHNS PLACE,approvedLimited,"mon,tue,wed,thu,fri",08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,16:00,,,,,2021-04-05T00:00:00,331.714740011,11/19/2021 12:00:00 AM,,"MULTILINESTRING ((-73.96629844747737 40.67619623046836, -73.96661541462883 40.675318311691015))"
93,Prospect Heights Neighborhood Development Council,16769,Brooklyn,UNDERHILL AVENUE,ATLANTIC AVENUE,ST JOHNS PLACE,approvedLimited,"mon,tue,wed,thu,fri",08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,16:00,,,,,2021-04-05T00:00:00,332.84278868,11/19/2021 12:00:00 AM,,"MULTILINESTRING ((-73.96597736879616 40.67707649740992, -73.96629844747737 40.67619623046836))"
94,Prospect Heights Neighborhood Development Council,16776,Brooklyn,UNDERHILL AVENUE,ATLANTIC AVENUE,ST JOHNS PLACE,approvedLimited,"mon,tue,wed,thu,fri",08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,16:00,,,,,2021-04-05T00:00:00,289.876427181,11/19/2021 12:00:00 AM,,"MULTILINESTRING ((-73.96506980968582 40.67960242156702, -73.96534390006462 40.67883462657317))"
95,Prospect Heights Neighborhood Development Council,16778,Brooklyn,VANDERBILT AVENUE,ATLANTIC AVENUE,PARK PLACE,approvedFull,"fri,sat,sun",,,,,,,,,16:00,23:00,11:00,22:00,11:00,22:00,2021-04-02T00:00:00,290.652637611,11/21/2021 12:00:00 AM,,"MULTILINESTRING ((-73.96795671792495 40.68020586894013, -73.96822951306991 40.679435599367075))"
96,Prospect Heights Neighborhood Development Council,16779,Brooklyn,VANDERBILT AVENUE,ATLANTIC AVENUE,PARK PLACE,approvedFull,"fri,sat,sun",,,,,,,,,16:00,23:00,11:00,22:00,11:00,22:00,2021-04-02T00:00:00,289.384405448,11/21/2021 12:00:00 AM,,"MULTILINESTRING ((-73.96768115174802 40.680971958630295, -73.96795671792495 40.68020586894013))"
97,Explore Exceed Charter School,16836,Brooklyn,ST MARKS AVENUE,GRAND AVENUE,CLASSON AVENUE,approvedFull,"mon,tue,wed,thu,fri",07:00,16:00,07:00,16:00,07:00,16:00,07:00,16:00,07:00,16:00,,,,,2021-08-30T00:00:00,895.876068139,06/30/2022 12:00:00 AM,yes,"MULTILINESTRING ((-73.962549219191 40.67730311889739, -73.95943549081802 40.676649775329096))"
98,Prospect Heights Neighborhood Development Council,16843,Brooklyn,UNDERHILL AVENUE,ATLANTIC AVENUE,ST JOHNS PLACE,approvedLimited,"mon,tue,wed,thu,fri",08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,16:00,,,,,2021-04-05T00:00:00,289.863734896,11/19/2021 12:00:00 AM,,"MULTILINESTRING ((-73.96479306841033 40.68036962969244, -73.96506980968582 40.67960242156702))"
99,Bridge Street Development Corporation,17270,Brooklyn,TOMPKINS AVENUE,GATES AVENUE,HALSEY STREET,approvedFull,sun,,,,,,,,,,,,,10:00,20:00,2021-05-02T00:00:00,270.156503579,10/03/2021 12:00:00 AM,,"MULTILINESTRING ((-73.94418610419619 40.68472206036728, -73.94403950170951 40.68398898860361))"
100,Bridge Street Development Corporation,17272,Brooklyn,TOMPKINS AVENUE,GATES AVENUE,HALSEY STREET,approvedFull,sun,,,,,,,,,,,,,10:00,20:00,2021-05-02T00:00:00,269.732793492,10/03/2021 12:00:00 AM,,"MULTILINESTRING ((-73.94389400368368 40.6832559891649, -73.94374746460682 40.68252408669262))"
101,Bridge Street Development Corporation,17278,Brooklyn,TOMPKINS AVENUE,GATES AVENUE,HALSEY STREET,approvedFull,sun,,,,,,,,,,,,,10:00,20:00,2021-05-02T00:00:00,270.066276963,10/03/2021 12:00:00 AM,,"MULTILINESTRING ((-73.94462413437878 40.68692086894316, -73.9444781360555 40.68618797743567))"
102,Fort Greene Open Streets Coalition,17336,Brooklyn,WILLOUGHBY AVENUE,WASHINGTON PARK,HALL STREET,approvedLimited,mon,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,2021-09-08T00:00:00,273.836003866,12/31/2021 12:00:00 AM,no,"MULTILINESTRING ((-73.97354305903076 40.691724116036944, -73.9725562965743 40.691695995181306))"
103,Fort Greene Open Streets Coalition,17386,Brooklyn,WILLOUGHBY AVENUE,WASHINGTON PARK,HALL STREET,approvedLimited,mon,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,2021-09-08T00:00:00,285.4705185,12/31/2021 12:00:00 AM,no,"MULTILINESTRING ((-73.97055219889721 40.691618371800075, -73.96952402352177 40.691580066455984))"
104,Fort Greene Open Streets Coalition,17394,Brooklyn,WILLOUGHBY AVENUE,WASHINGTON PARK,HALL STREET,approvedLimited,mon,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,2021-09-08T00:00:00,269.067995932,12/31/2021 12:00:00 AM,no,"MULTILINESTRING ((-73.96849560347358 40.69156131100703, -73.96753409773576 40.69166028936452))"
105,Fort Greene Open Streets Coalition,17439,Brooklyn,WILLOUGHBY AVENUE,WASHINGTON PARK,HALL STREET,approvedLimited,mon,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,2021-09-08T00:00:00,270.681035967,12/31/2021 12:00:00 AM,no,"MULTILINESTRING ((-73.96753409773576 40.69166028936452, -73.96656915530444 40.691772190060654))"
106,Hall Street Block Association,17453,Brooklyn,HALL STREET,PARK AVENUE,MYRTLE AVENUE,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,2021-04-14T00:00:00,821.236968575,04/15/2023 12:00:00 AM,,"MULTILINESTRING ((-73.96636224206631 40.695677043417604, -73.96590825050923 40.69344958109857))"
107,North Brooklyn Open Streets Coalition,17603,Brooklyn,BERRY STREET,BROADWAY,NORTH 12 STREET,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",08:00,20:00,08:00,20:00,08:00,08:00,08:00,08:00,08:00,20:00,08:00,20:00,08:00,08:00,2021-09-08T00:00:00,301.504393706,12/31/2021 12:00:00 AM,no,"MULTILINESTRING ((-73.96360369019001 40.71384203297953, -73.96407415310868 40.71309590947182))"
108,North Brooklyn Open Streets Coalition,17605,Brooklyn,BERRY STREET,BROADWAY,NORTH 12 STREET,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",08:00,20:00,08:00,20:00,08:00,08:00,08:00,08:00,08:00,20:00,08:00,20:00,08:00,08:00,2021-09-08T00:00:00,254.667676034,12/31/2021 12:00:00 AM,no,"MULTILINESTRING ((-73.96320471683971 40.714471669298106, -73.96360369019001 40.71384203297953))"
109,North Brooklyn Open Streets Coalition,17611,Brooklyn,BERRY STREET,BROADWAY,NORTH 12 STREET,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",08:00,20:00,08:00,20:00,08:00,08:00,08:00,08:00,08:00,20:00,08:00,20:00,08:00,08:00,2021-09-08T00:00:00,219.232998831,12/31/2021 12:00:00 AM,no,"MULTILINESTRING ((-73.96229142110052 40.71559604846705, -73.96278045752685 40.71512315140366))"
110,Beginning with Children Charter School 2,17914,Brooklyn,HEYWARD STREET,MARCY AVENUE,HARRISON AVENUE,approvedFull,"mon,tue,wed,thu,fri",10:00,14:00,10:00,14:00,10:00,14:00,10:00,14:00,10:00,14:00,,,,,2021-08-23T00:00:00,695.503327882,04/29/2022 12:00:00 AM,yes,"MULTILINESTRING ((-73.95381483077983 40.703197492464064, -73.95190373342666 40.70443401413987))"
111,Yeshivat Darchei Eres,15125,Brooklyn,LOCUST AVENUE,CONEY ISLAND AVENUE,EAST 12th STREET,approvedFull,"mon,tue,wed,thu",10:00,14:00,10:00,14:00,22:00,14:00,22:00,14:00,,,,,,,2021-09-01T00:00:00,290.254727359,06/16/2022 12:00:00 AM,yes,"MULTILINESTRING ((-73.96389221465552 40.618017028952046, -73.96293465468618 40.61833685938541))"
112,M.S. 839,15770,Brooklyn,EAST 7th STREET,CATON AVENUE,KERMIT PLACE,approvedFull,"mon,tue,wed,thu,fri",08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,,,,,2021-09-13T00:00:00,294.337017098,06/28/2022 12:00:00 AM,yes,"MULTILINESTRING ((-73.97367038804467 40.6484103994077, -73.97350683671083 40.64761216976447))"
113,Flatbush Development Corporation,15869,Brooklyn,NEWKIRK AVENUE,CONEY ISLAND AVENUE,EAST 17th STREET,approvedFull,sun,,,,,,,,,,,,,12:00,20:00,2021-07-11T00:00:00,399.186005223,08/29/2021 12:00:00 AM,,"MULTILINESTRING ((-73.9671881655592 40.633720261352074, -73.96595367212812 40.6342824217963))"
114,Flatbush Development Corporation,15929,Brooklyn,NEWKIRK AVENUE,CONEY ISLAND AVENUE,EAST 17th STREET,approvedFull,sun,,,,,,,,,,,,,12:00,20:00,2021-07-11T00:00:00,284.786787557,08/29/2021 12:00:00 AM,,"MULTILINESTRING ((-73.96421852945393 40.635116522371916, -73.9633515140188 40.635534559419234))"
115,Flatbush Development Corporation,15936,Brooklyn,NEWKIRK AVENUE,CONEY ISLAND AVENUE,EAST 17th STREET,approvedFull,sun,,,,,,,,,,,,,12:00,20:00,2021-07-11T00:00:00,122.688672892,08/29/2021 12:00:00 AM,,"MULTILINESTRING ((-73.96285786672013 40.63577058110807, -73.96248344799372 40.63594958994132))"
116,Flatbush Development Corporation,15939,Brooklyn,NEWKIRK AVENUE,CONEY ISLAND AVENUE,EAST 17th STREET,approvedFull,sun,,,,,,,,,,,,,12:00,20:00,2021-07-11T00:00:00,295.360620884,08/29/2021 12:00:00 AM,,"MULTILINESTRING ((-73.96248344799372 40.63594958994132, -73.96158538311458 40.6363845332668))"
117,St. Saviour Catholic Academy,16541,Brooklyn,7th STREET,PROSPECT PARK WEST,8th AVENUE,approvedFull,"mon,tue,wed,thu,fri",11:30,13:30,11:30,13:30,11:30,13:30,11:30,13:30,11:30,13:30,,,,,2021-09-08T00:00:00,781.939686996,06/24/2022 12:00:00 AM,yes,"MULTILINESTRING ((-73.97821551517244 40.66697980472257, -73.97583419561813 40.66583157559247))"
118,Park Slope Fifth Avenue Business Improvement District,16579,Brooklyn,5th AVENUE,STERLING PLACE,BERKELEY PLACE,approvedFull,"sat, sun",,,,,,,,,,,11:00,22:30,11:00,22:00,2021-04-03T00:00:00,41.9142882716,12/18/2021 12:00:00 AM,,"MULTILINESTRING ((-73.97910848489784 40.67842856583422, -73.9791801253082 40.678327270911836))"
119,Park Slope Fifth Avenue Business Improvement District,16582,Brooklyn,5th AVENUE,STERLING PLACE,BERKELEY PLACE,approvedFull,"sat, sun",,,,,,,,,,,11:00,22:30,11:00,22:00,2021-04-03T00:00:00,260.138995659,12/18/2021 12:00:00 AM,,"MULTILINESTRING ((-73.97867957425953 40.67906354813186, -73.97910848489784 40.67842856583422))"
